Requirement,Appropriate,Complete,Conforming,Correct,Feasible,Necessary,Singular,Unambiguous,Verifiable
"The system shall display Events or Activities.",1,0,0,1,1,1,1,0,0
"There shall be two regions in the display: the left 2/3 of the screen for graphical view, and the right 1/3 for the data table.",1,1,0,1,1,1,1,1,1
"The data displayed in both the nodes of the graph and the rows of the table shall be MSEL Summary data.",1,1,0,1,1,1,1,1,1
"The table side of the display shall be divided into 2 regions: sequential and temporal.",1,1,0,1,1,1,1,1,1
"The upper 1/4 of the table shall contain the sequential events to occur.",1,1,0,1,1,1,1,1,1
"The lower 3/4 of the table shall contain the events related to the current time.",1,1,0,1,1,1,1,1,1
"The system shall display events using color codes based on their deviations from the current time.",1,1,0,1,1,1,1,1,1
"The system shall provide a history report of changes made to Activity or Event data.",1,1,0,1,1,1,1,1,1
"The appearance and usability of the system shall comply with the user interface standards of the smart device.",1,1,1,1,1,1,1,1,1
"The user interface shall include standard menus and navigation buttons.",1,1,1,1,1,1,1,1,1
"The system shall update or create new property listings in the MLS.",1,1,0,1,1,1,1,1,1
"The realtor shall be able to create a CMA report based on property criteria.",1,1,0,1,1,1,1,1,1
"Program Managers and Nursing Faculty members shall be able to add clinical courses or sections to the course sequence.",1,1,0,1,1,1,1,1,1
"Program Managers and Nursing Faculty shall be able to add a new cohort defined by start month and year.",1,1,0,1,1,1,1,1,1
"Program Managers and Nursing Faculty shall be able to add new courses to the nursing curriculum.",1,1,0,1,1,1,1,1,1
"A course may be either non-clinical or clinical.",1,0,0,1,1,1,1,1,0
"A non-clinical course shall specify course name, classroom needs, and instructor needs.",1,1,0,1,1,1,1,1,1
"A clinical course shall specify course name, classroom needs, clinical site needs, course instructor needs, and clinical lab instructor needs.",1,1,0,1,1,1,1,1,1
"Program Managers/Nursing Faculty shall be able to create a new Program of Study.",1,1,0,1,1,1,1,1,1
"A Program of Study shall consist of a program name and required courses (both clinical and non-clinical) to be completed.",1,1,0,1,1,1,1,1,1
"Program Managers and Nursing Faculty shall be able to define which courses are required for a Program of Study.",1,1,1,1,1,1,1,1,1
"The system shall display a report of courses required for all cohorts of all programs during a given term for planning purposes by Program Managers/Nursing Faculty.",1,1,1,1,1,1,0,1,1
"The required course report shall include courses to be offered, required sections, required labs, and required classroom types.",1,1,1,1,1,1,1,1,1
"Courses for a given cohort shall not conflict in day and time.",1,1,1,1,1,1,1,1,1
"Program Managers and Nursing Faculty shall be able to add a new clinical site to the system.",1,1,1,1,1,1,1,1,1
